kmer1,kmer2,kmer3,kmer4,kmer5,kmer6,kmer7,kmer8,kmer9,kmer10,kmer11,kmer12,kmer13,kmer14,kmer15,kmer16,kmer17,kmer18,kmer19,kmer20,kmer21,kmer22,kmer23,kmer24,kmer25,kmer26,kmer27,kmer28,kmer29,kmer30,kmer31,kmer32,kmer33,kmer34,kmer35,kmer36,kmer37,kmer38,kmer39,kmer40,kmer41,kmer42,kmer43,kmer44,kmer45,kmer46,kmer47,kmer48,kmer49,kmer50,kmer51,kmer52,kmer53,kmer54,kmer55,kmer56,kmer57,kmer58,kmer59,kmer60,kmer61,kmer62,kmer63,kmer64,,type
202,156,250,102,107,111,117,78,219,173,244,103,91,90,113,49,150,86,210,91,130,37,56,50,74,52,179,70,84,53,55,32,210,114,166,98,228,75,128,54,212,211,363,104,126,72,78,46,147,57,113,52,72,50,74,42,83,49,105,45,68,23,36,13,1
15397,15933,12284,10293,15424,15941,9867,13203,8301,15952,9818,10732,8022,13166,6336,7127,20338,19736,14796,13811,18679,11028,9922,12234,5848,9769,8901,13278,10383,17611,9436,11027,7209,8866,6495,4753,15572,10467,7192,9786,6154,9458,8248,10234,10966,13804,7158,11038,10964,9900,11228,5794,19006,14427,10815,13234,7020,7838,7127,8722,8515,12901,7777,6306,0
7208,8073,6130,4988,7793,7971,4757,6807,4135,7909,4722,4996,4018,6626,3117,3675,10444,9885,7244,6978,9361,5598,4800,5911,2714,4861,4448,6356,5229,8679,4323,5561,3487,4290,2926,2378,7721,5161,3586,4847,2876,4681,3811,4933,5227,6525,3390,5282,5260,5080,5462,3093,9676,6940,5236,6227,3356,3864,3320,4139,4420,6249,3849,3218,0
5786,5001,4924,3922,4938,4716,3427,4325,3470,5539,4184,4255,3135,4824,2743,2624,6695,5840,5233,4926,5976,3219,3346,3680,2392,3221,3648,4658,3496,5332,3453,3476,3185,3309,2807,2182,5429,3630,2997,3389,2758,3808,3857,4394,4299,5182,3039,4264,3967,3256,4484,2296,6351,4657,4149,4363,2863,2876,3128,3477,3073,4182,3109,2285,0
4138,4625,3142,2942,4479,4841,2745,3823,2131,4390,2570,3141,2335,3568,1727,2134,5857,5635,4203,3880,5525,3460,2983,3803,1698,2618,2408,3942,3115,5177,2718,3438,1689,2532,1669,1232,4179,2934,1907,2952,1432,2558,2027,2894,3115,3973,1953,3541,3163,3096,3218,1710,5392,4537,3031,3870,1861,2405,1906,2605,2622,4112,2379,2105,0
3222,2964,2781,2294,2842,2732,2056,2342,1968,3206,2452,2365,1860,2682,1652,1419,3940,3297,3097,2710,3399,1875,1934,1979,1341,1947,2077,2681,2044,2903,1865,1744,1823,1862,1664,1243,3188,2084,1651,1871,1581,2127,2112,2514,2422,3037,1669,2210,2276,1849,2449,1366,3615,2497,2405,2364,1702,1514,1693,1778,1613,2259,1501,988,0
2220,2238,1824,1413,2053,2120,1308,1838,1233,2266,1481,1603,1196,1747,948,1021,2818,2480,2068,1900,2480,1366,1309,1638,819,1323,1252,1755,1468,2380,1259,1415,1095,1182,1030,739,2187,1415,1020,1343,932,1371,1245,1388,1571,1884,992,1598,1562,1419,1661,860,2546,1892,1512,1702,1062,1005,958,1300,1267,1641,1126,843,0
1881,2060,1652,1296,1895,2041,1212,1692,1077,2078,1273,1491,1034,1759,876,878,2681,2439,1960,1804,2451,1373,1299,1534,677,1317,1123,1642,1416,2212,1232,1388,982,1062,800,637,2036,1381,889,1288,773,1122,1013,1381,1449,1888,964,1341,1345,1279,1507,810,2502,1862,1359,1734,954,1076,880,1128,1042,1598,967,668,0
1106,783,1299,1072,834,774,765,1106,907,1410,1803,1903,868,1175,1194,1134,1179,954,1386,1477,1197,555,756,1109,604,689,1282,1558,1144,1418,1562,1283,815,857,1319,686,1327,980,1051,1289,1081,1411,2237,2587,1904,2243,1885,2268,1159,885,2019,1136,1639,1308,1561,1903,1085,1137,1994,2252,1283,1575,1827,1140,0
1583,1707,1251,1182,1631,1799,1072,1462,809,1724,1028,1296,889,1469,767,1006,2213,2126,1650,1636,2202,1441,1168,1453,610,1092,1028,1523,1191,2029,1107,1407,702,947,618,565,1711,1205,763,1194,589,1064,907,1259,1245,1600,829,1528,1225,1184,1339,747,2081,1819,1250,1625,824,993,856,1124,1170,1677,1094,1009,0
